Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,PR,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
08-2007,226.44,203.03,195.88,311.83,256.17,279.9,200.29,347.7,223.44,290.53,201.34,224,215.18,203.18,264.69,211.62,172.23,200.92,192.64,238.59,237.97,268.16,218.4,182.79,249.57,208.63,192.4,316.65,203.65,211.8,201.11,228.93,254.27,244.01,253.91,220.55,174.68,196.44,339.91,202.5,224.09,224,202.94,220.33,204.51,191.17,325.53,249.69,224,218.75,284.86,229,196,311.57
09-2007,224.92,202.3,195.39,304.09,249.13,277.02,197.87,343.41,220.36,286.81,199.89,221.8,211.63,201.54,263.19,210.71,169.89,200.47,192.09,237.34,235.97,266.2,218.91,180.13,246.53,205.79,193.22,317.36,202.88,210.22,199.63,226.41,253.18,242.59,247.79,219.68,173.03,195.88,337.18,201.78,224.1,221.8,201.84,220.29,203.58,191.01,322.55,245.69,221.8,216.81,282.65,227.27,194.6,307.29
10-2007,223.41,201.57,194.89,296.34,242.08,274.14,195.45,339.13,217.29,283.08,198.44,219.7,208.09,199.9,261.68,209.8,167.54,200.03,191.53,236.1,233.97,264.23,219.42,177.48,243.49,202.95,194.04,318.07,202.11,208.64,198.15,223.89,252.1,241.18,241.68,218.82,171.38,195.33,334.45,201.06,224.11,219.7,200.73,220.26,202.65,190.85,319.57,241.68,219.7,214.87,280.45,225.54,193.2,303.01
11-2007,221.89,200.83,194.4,288.6,235.04,271.25,193.04,334.84,214.22,279.35,197,217.5,204.55,198.26,260.18,208.89,165.19,199.58,190.98,234.85,231.97,262.27,219.93,174.82,240.45,200.12,194.87,318.78,201.33,207.06,196.66,221.37,251.02,239.76,235.57,217.95,169.73,194.78,331.72,200.35,224.12,217.5,199.63,220.22,201.72,190.69,316.59,237.67,217.5,212.94,278.25,223.8,191.8,298.73
12-2007,219.41,200,192.62,284.46,227.43,269.26,191.29,333.07,214.47,271.86,195.32,215.3,205.63,197.73,259.84,206.27,164.94,198.12,189.77,234.41,231.59,258.12,218.07,172.5,238.26,198.52,192.43,318.51,200.67,207.88,195.02,220.05,248.86,240.23,229.94,217.02,167.69,193.45,328.24,199.58,219.48,215.3,200.38,220.67,200.82,189.98,315.21,237.11,215.3,213.62,275.93,223.05,190.94,300.24
01-2008,216.94,199.17,190.83,280.31,219.83,267.26,189.54,331.31,214.72,264.38,193.65,213,206.72,197.19,259.51,203.65,164.69,196.66,188.56,233.96,231.21,253.97,216.21,170.17,236.07,196.93,189.99,318.24,200,208.7,193.38,218.73,246.71,240.7,224.32,216.1,165.66,192.12,324.76,198.81,214.83,213,201.13,221.11,199.93,189.27,313.83,236.55,213,214.29,273.61,222.3,190.07,301.75
02-2008,214.46,198.34,189.05,276.17,212.22,265.27,187.8,329.54,214.97,256.89,191.97,210.8,207.81,196.65,259.17,201.03,164.44,195.2,187.35,233.52,230.83,249.83,214.35,167.85,233.88,195.33,187.56,317.98,199.34,209.52,191.74,217.4,244.55,241.16,218.7,215.17,163.63,190.79,321.27,198.05,210.19,210.8,201.88,221.56,199.03,188.56,312.45,235.98,210.8,214.97,271.29,221.55,189.2,303.26
03-2008,219.04,198.79,189.37,272.03,206.65,268.17,188.85,326.24,213,250.46,191.85,210.2,207.82,197.55,257.57,201.67,164.49,196.92,188.93,233.92,229.01,246.38,214.2,167.35,233.23,196.94,189.87,316.73,201.23,210.86,193.08,217.27,243.32,240,212.15,215.32,165.02,192.7,322.34,198.16,210.74,210.2,201.43,221.95,199.54,189.64,311.89,234.21,210.2,213.76,271.64,222.07,191.12,303.18
04-2008,223.62,199.25,189.7,267.9,201.08,271.06,189.9,322.93,211.02,244.03,191.74,209.6,207.83,198.45,255.97,202.31,164.53,198.65,190.52,234.32,227.18,242.93,214.06,166.85,232.58,198.55,192.18,315.47,203.11,212.19,194.42,217.14,242.09,238.84,205.6,215.46,166.4,194.61,323.4,198.28,211.28,209.6,200.97,222.33,200.04,190.72,311.33,232.44,209.6,212.56,271.99,222.58,193.03,303.1
05-2008,228.2,199.7,190.03,263.77,195.5,273.96,190.95,319.62,209.04,237.6,191.62,208.9,207.84,199.35,254.37,202.95,164.57,200.38,192.11,234.72,225.35,239.48,213.91,166.35,231.94,200.17,194.5,314.22,205,213.53,195.76,217,240.86,237.67,199.05,215.6,167.79,196.52,324.47,198.39,211.83,208.9,200.52,222.71,200.54,191.8,310.77,230.67,208.9,211.36,272.35,223.1,194.94,303.03
06-2008,226.33,198.87,190.02,257.54,191.72,272,189.42,323.24,207.78,231.59,190.81,207.4,203.93,199.08,252.4,201.25,165.15,198.66,192.14,233.71,224.15,239.12,214.6,164.65,231.36,199.06,191.09,315.28,202.84,214.02,195.12,214.85,239.48,237.04,195.03,216.05,166.93,196.24,321.97,198.02,207.94,207.4,199.68,223.51,199.36,192.1,307.95,229.17,207.4,210.31,270.1,222.29,193.21,303.5
07-2008,224.47,198.04,190.01,251.32,187.94,270.05,187.88,326.85,206.52,225.59,189.99,205.8,200.01,198.81,250.44,199.54,165.74,196.94,192.18,232.7,222.95,238.76,215.29,162.96,230.78,197.96,187.68,316.34,200.69,214.52,194.48,212.7,238.09,236.42,191,216.5,166.08,195.96,319.48,197.65,204.05,205.8,198.84,224.3,198.19,192.41,305.13,227.66,205.8,209.26,267.86,221.48,191.49,303.98
08-2008,222.61,197.21,190,245.1,184.17,268.1,186.34,330.47,205.26,219.58,189.17,204.2,196.1,198.55,248.47,197.84,166.32,195.22,192.21,231.69,221.75,238.39,215.98,161.27,230.21,196.85,184.27,317.4,198.54,215.01,193.84,210.55,236.7,235.79,186.98,216.95,165.23,195.69,316.99,197.27,200.16,204.2,198,225.09,197.02,192.72,302.31,226.15,204.2,208.22,265.61,220.67,189.76,304.45
09-2008,223.21,195.03,188.33,237.26,179.89,264.02,184.31,326.89,202.33,214.32,183.77,201.1,197.55,198.17,243.62,195.96,163.4,195.39,190.2,230.35,220.53,232.05,211.43,158.18,225.86,194.39,185.39,310.93,196.23,214.52,192.84,207.58,234.35,234.68,177.64,214.19,162.64,192.9,311.2,195.21,198.9,201.1,194.64,223.24,195.28,190.9,297.11,221.13,201.1,209.07,260.18,218.47,190.05,303.64
10-2008,223.81,192.85,186.66,229.42,175.61,259.95,182.28,323.31,199.4,209.06,178.37,197.9,199,197.79,238.78,194.07,160.47,195.55,188.18,229.02,219.3,225.71,206.88,155.09,221.5,191.94,186.51,304.45,193.92,214.03,191.84,204.61,232,233.57,168.3,211.42,160.06,190.11,305.42,193.16,197.64,197.9,191.29,221.38,193.55,189.09,291.91,216.11,197.9,209.93,254.75,216.27,190.34,302.82
11-2008,224.41,190.67,184.98,221.57,171.33,255.88,180.25,319.73,196.47,203.8,172.97,194.8,200.45,197.41,233.94,192.19,157.55,195.71,186.16,227.68,218.08,219.37,202.33,152,217.15,189.48,187.63,297.98,191.61,213.54,190.84,201.64,229.66,232.46,158.96,208.65,157.47,187.32,299.64,191.1,196.38,194.8,187.94,219.52,191.82,187.28,286.71,211.08,194.8,210.78,249.31,214.07,190.64,302.01
12-2008,224.47,191.25,184.65,219.87,168.52,257.45,179.05,312.8,198.85,200.49,174.48,194.2,199.01,195.65,234.86,189.44,157.71,194.94,185.85,227.9,219.28,220.71,204.93,154.08,217.65,189.81,183.03,301.76,193.67,212.03,189.57,203.53,229.33,228.7,156.7,208.15,156.23,188.07,298.18,190.16,197.57,194.2,190.08,219.7,191.2,187.01,283.88,211.87,194.2,208.27,249.48,215.2,187.85,295.44
01-2009,224.53,191.82,184.31,218.17,165.71,259.03,177.85,305.86,201.23,197.18,175.99,193.7,197.58,193.89,235.79,186.69,157.88,194.17,185.53,228.11,220.48,222.06,207.53,156.16,218.15,190.15,178.43,305.55,195.74,210.53,188.31,205.43,229.01,224.94,154.44,207.65,154.99,188.81,296.73,189.21,198.76,193.7,192.22,219.87,190.57,186.74,281.05,212.65,193.7,205.75,249.64,216.32,185.06,288.88
02-2009,224.6,192.4,183.98,216.47,162.89,260.61,176.64,298.93,203.61,193.88,177.51,193.1,196.14,192.14,236.71,183.95,158.04,193.4,185.21,228.33,221.68,223.4,210.12,158.24,218.65,190.49,173.83,309.33,197.8,209.02,187.05,207.32,228.68,221.17,152.17,207.15,153.75,189.56,295.28,188.27,199.94,193.1,194.35,220.04,189.95,186.47,278.22,213.44,193.1,203.24,249.81,217.44,182.27,282.32
03-2009,222.21,193.13,184.34,211.68,163.34,263.62,177.44,305.61,204.74,193.07,176.18,193.4,190.33,193.51,237.12,184.6,159.44,194.07,186.54,229.45,221.01,222.89,209.98,157.46,219.53,191.52,177.03,306.66,197.23,212.64,190.05,207.35,227.24,222.95,149.63,207.12,156.2,192.11,293.05,189.27,196.71,193.4,193.57,221.24,190.59,188.01,275.96,215.31,193.4,205.92,247.97,217.03,185.7,287.1
04-2009,219.82,193.85,184.7,206.89,163.79,266.64,178.23,312.29,205.87,192.27,174.86,193.8,184.52,194.88,237.54,185.25,160.84,194.74,187.87,230.57,220.34,222.37,209.84,156.69,220.42,192.56,180.24,303.98,196.65,216.26,193.05,207.39,225.79,224.72,147.09,207.09,158.64,194.66,290.83,190.28,193.48,193.8,192.79,222.44,191.22,189.54,273.7,217.19,193.8,208.6,246.13,216.62,189.13,291.88
05-2009,217.43,194.58,185.07,202.09,164.24,269.65,179.03,318.97,207,191.46,173.53,194.2,178.71,196.26,237.95,185.9,162.24,195.41,189.2,231.69,219.67,221.86,209.69,155.91,221.3,193.59,183.44,301.31,196.08,219.89,196.05,207.43,224.35,226.49,144.55,207.07,161.09,197.22,288.61,191.28,190.24,194.2,192.01,223.64,191.86,191.08,271.44,219.07,194.2,211.28,244.3,216.2,192.56,296.67
06-2009,217.53,192.16,184.78,202.12,165.52,269,178.45,318.39,202.23,190.2,175.41,193.9,181.77,197.46,234.43,186.59,161.33,195.45,189.33,230.61,218.94,221.64,207.8,154.57,219.54,192.94,183.62,302.51,195.09,218.78,196.15,204.42,224.17,225.11,141.91,207.38,161.05,196.84,287.95,191.03,191.5,193.9,192.4,222.75,191.5,190.63,270.68,218.19,193.9,211.65,242.59,215.15,190.56,295.7
07-2009,217.63,189.73,184.5,202.15,166.8,268.36,177.87,317.8,197.46,188.93,177.29,193.6,184.83,198.66,230.9,187.28,160.42,195.48,189.45,229.53,218.21,221.43,205.91,153.23,217.79,192.29,183.79,303.71,194.09,217.67,196.25,201.41,223.99,223.73,139.27,207.7,161.02,196.46,287.3,190.78,192.76,193.6,192.78,221.86,191.15,190.19,269.92,217.31,193.6,212.02,240.89,214.11,188.57,294.74
08-2009,217.73,187.31,184.21,202.18,168.08,267.72,177.29,317.22,192.7,187.67,179.17,193.3,187.89,199.86,227.37,187.98,159.5,195.52,189.58,228.45,217.48,221.21,204.03,151.89,216.03,191.64,183.97,304.9,193.1,216.56,196.35,198.4,223.81,222.35,136.63,208.01,160.99,196.09,286.65,190.53,194.01,193.3,193.17,220.98,190.79,189.74,269.16,216.43,193.3,212.39,239.19,213.06,186.58,293.77
09-2009,216.95,190.22,186.38,199.83,168.4,266,175.93,319.12,191.54,186.98,175.95,192.6,184.58,198.39,224.26,185.83,159.69,196.37,188.6,228.47,217.56,218.2,204.01,151.12,216.16,190.77,182.02,302.37,191.93,216.53,196,200.23,222.46,222.5,136.12,207.57,159.93,195.06,284.17,190.38,193.7,192.6,191.43,221.21,190.31,189.56,267.83,217.14,192.6,208.81,238.19,212.08,186.09,289.75
10-2009,216.17,193.13,188.55,197.49,168.71,264.29,174.56,321.03,190.39,186.29,172.74,191.9,181.27,196.92,221.15,183.68,159.87,197.22,187.62,228.49,217.63,215.19,203.99,150.34,216.29,189.9,180.07,299.83,190.77,216.5,195.66,202.06,221.12,222.66,135.61,207.14,158.87,194.03,281.69,190.23,193.4,191.9,189.7,221.44,189.84,189.38,266.51,217.85,191.9,205.23,237.18,211.1,185.61,285.72
11-2009,215.39,196.04,190.73,195.14,169.03,262.57,173.2,322.93,189.23,185.6,169.53,191.2,177.95,195.44,218.04,181.54,160.06,198.07,186.64,228.52,217.7,212.17,203.98,149.56,216.42,189.03,178.13,297.3,189.61,216.47,195.32,203.9,219.78,222.82,135.1,206.7,157.81,192.99,279.2,190.08,193.09,191.2,187.97,221.67,189.36,189.2,265.19,218.56,191.2,201.65,236.18,210.12,185.13,281.7
12-2009,213.59,191.27,185.44,193.67,168,262.62,171.33,325.7,190.08,184.85,166.69,189.6,178.14,194.35,213.49,179.79,158.36,193.68,185.68,227.83,216.89,211.94,203.55,146.71,212.53,187.02,175.23,297.71,187.43,218.45,192.31,199.56,219.79,222.14,133.75,205.84,156.86,191.8,275,189.69,188.98,189.6,186.66,221.32,187.05,188.69,261.35,215.04,189.6,203.02,234.99,207.74,184.98,281.31
01-2010,211.79,186.49,180.15,192.19,166.97,262.67,169.46,328.47,190.93,184.09,163.85,188,178.32,193.26,208.94,178.03,156.67,189.29,184.72,227.14,216.09,211.71,203.13,143.86,208.64,185,172.33,298.11,185.26,220.44,189.31,195.22,219.8,221.45,132.39,204.98,155.91,190.61,270.8,189.31,184.86,188,185.35,220.97,184.75,188.18,257.5,211.53,188,204.38,233.8,205.35,184.83,280.93
02-2010,210,181.72,174.87,190.72,165.94,262.72,167.6,331.24,191.78,183.34,161.01,186.4,178.5,192.17,204.39,176.28,154.98,184.9,183.76,226.46,215.28,211.48,202.71,141.01,204.76,182.99,169.43,298.52,183.08,222.43,186.31,190.88,219.81,220.76,131.04,204.13,154.95,189.42,266.6,188.93,180.75,186.4,184.05,220.62,182.44,187.67,253.66,208.02,186.4,205.75,232.61,202.97,184.67,280.54
03-2010,214.54,182.35,178.59,190.21,167.04,264.38,169.94,322.86,190.35,182.98,164.06,188,178.67,194.62,206.38,178.33,156.92,189.49,184.9,227.7,216.22,213.65,200.55,143.83,208.5,186.02,172.41,297.64,184.93,221.6,190.13,193.35,219.82,218.48,131.76,205.05,156.21,191.86,271.22,189.39,182.69,188,184.1,220.59,184.87,189.38,256.23,211.89,188,204.87,233.52,204.99,185.41,282.64
04-2010,219.08,182.99,182.31,189.7,168.13,266.04,172.29,314.48,188.91,182.61,167.1,189.6,178.85,197.07,208.38,180.38,158.86,194.08,186.04,228.95,217.16,215.82,198.4,146.65,212.24,189.06,175.4,296.75,186.77,220.76,193.95,195.82,219.82,216.19,132.48,205.97,157.47,194.31,275.85,189.85,184.64,189.6,184.16,220.56,187.3,191.09,258.8,215.75,189.6,204,234.43,207.01,186.15,284.74
05-2010,223.62,183.63,186.03,189.19,169.23,267.7,174.63,306.1,187.48,182.24,170.15,191.2,179.02,199.52,210.37,182.44,160.81,198.67,187.17,230.2,218.11,217.99,196.25,149.46,215.99,192.09,178.38,295.87,188.62,219.93,197.77,198.28,219.83,213.9,133.21,206.9,158.72,196.75,280.48,190.32,186.58,191.2,184.21,220.52,189.73,192.8,261.38,219.62,191.2,203.12,235.34,209.03,186.89,286.84
06-2010,224.66,183.93,183.12,186.48,168.08,264.84,173.19,318.51,186.26,180.58,167.1,189.9,177.04,197.23,207.93,181.2,160.48,196.15,187.49,230.34,217.47,214.99,199.17,148.52,214.19,190.59,178.48,295.17,186.03,219.31,196.35,199.09,219.36,213.62,132.41,206.54,157.42,195.99,274.88,189.14,186.76,189.9,182.34,220.33,187.54,192.06,259.22,216.82,189.9,202.75,233.73,208.28,188.84,284.77
07-2010,225.7,184.23,180.21,183.77,166.93,261.97,171.74,330.93,185.05,178.91,164.05,188.6,175.06,194.93,205.48,179.96,160.15,193.63,187.81,230.49,216.82,211.99,202.09,147.57,212.38,189.09,178.59,294.48,183.44,218.68,194.92,199.9,218.88,213.34,131.61,206.18,156.13,195.22,269.28,187.96,186.93,188.6,180.47,220.13,185.36,191.32,257.07,214.02,188.6,202.37,232.13,207.53,190.79,282.71
08-2010,226.74,184.53,177.3,181.06,165.79,259.11,170.3,343.34,183.84,177.24,161,187.2,173.08,192.63,203.04,178.73,159.83,191.11,188.13,230.64,216.18,208.99,205.01,146.63,210.58,187.59,178.69,293.78,180.84,218.06,193.5,200.71,218.41,213.07,130.81,205.81,154.83,194.46,263.68,186.78,187.11,187.2,178.6,219.93,183.17,190.58,254.91,211.22,187.2,201.99,230.53,206.78,192.73,280.65
09-2010,224.12,181.25,176.17,177.17,164.14,259.72,169.25,336.28,186.2,176.14,157.95,186,174.94,193.72,198.8,177.26,159.06,190.89,187.68,228.81,216.22,208.89,203.56,146.53,210.07,183.83,176.36,289.48,182.17,221.01,191.23,199.09,217.73,211.96,129.16,205.8,153.96,194.36,260.76,186.62,186.3,186,179.73,217.92,182.75,188.52,253.5,209.97,186,200.43,227.07,206.84,191.01,278.95
10-2010,221.49,177.97,175.04,173.28,162.48,260.33,168.2,329.22,188.55,175.04,154.9,184.9,176.8,194.81,194.56,175.79,158.3,190.67,187.22,226.97,216.27,208.79,202.11,146.44,209.56,180.07,174.04,285.17,183.5,223.95,188.96,197.46,217.05,210.85,127.51,205.79,153.08,194.26,257.84,186.45,185.49,184.9,180.86,215.92,182.34,186.46,252.09,208.72,184.9,198.87,223.62,206.91,189.28,277.26
11-2010,218.86,174.69,173.91,169.39,160.83,260.93,167.15,322.16,190.91,173.94,151.84,183.7,178.66,195.89,190.32,174.32,157.54,190.46,186.77,225.14,216.31,208.69,200.66,146.35,209.06,176.3,171.71,280.87,184.83,226.9,186.69,195.83,216.36,209.74,125.86,205.78,152.21,194.17,254.92,186.29,184.68,183.7,182,213.91,181.92,184.4,250.69,207.46,183.7,197.31,220.16,206.97,187.56,275.57
12-2010,219.89,173.18,176.05,168.95,158.7,256.91,165.02,318.04,187.72,170.68,151.12,181.2,170.53,192.29,185.57,171.44,155.49,186.83,184.57,223.36,213.26,205.58,199.18,143,202.98,175.77,170.01,279.57,180.04,225.89,186.87,191.5,213.18,207.91,123.31,203.22,149.27,189.28,250.95,184.27,182.23,181.2,177.02,214.73,179.65,183.99,245.39,205.06,181.2,199.92,217.67,202.23,186.95,276.85
01-2011,220.91,171.68,178.18,168.5,156.56,252.89,162.9,313.93,184.53,167.41,150.39,178.7,162.39,188.69,180.82,168.56,153.45,183.2,182.37,221.59,210.21,202.47,197.69,139.64,196.91,175.23,168.3,278.27,175.26,224.88,187.06,187.17,210,206.08,120.76,200.66,146.32,184.4,246.98,182.26,179.78,178.7,172.05,215.55,177.38,183.59,240.09,202.65,178.7,202.52,215.17,197.48,186.33,278.13
02-2011,221.93,170.18,180.31,168.06,154.43,248.87,160.78,309.82,181.34,164.14,149.67,176.2,154.25,185.09,176.07,165.69,151.4,179.58,180.16,219.81,207.16,199.36,196.21,136.29,190.83,174.69,166.6,276.98,170.47,223.87,187.24,182.84,206.81,204.24,118.21,198.11,143.38,179.51,243.01,180.24,177.33,176.2,167.08,216.37,175.11,183.18,234.79,200.24,176.2,205.12,212.68,192.73,185.72,279.4
03-2011,222.89,171.29,177.82,166.48,154.52,251.6,164,320.56,178.51,165.16,149.64,177.6,160.12,188.04,177.79,166.48,153.97,182.59,181.1,221.49,209.47,200.88,195.15,137.85,193.48,175.59,169.16,281.33,172.68,225.38,188.47,185.35,206.92,203.18,117.32,199.37,145.93,185.12,243.81,182.45,177.8,177.6,168.87,216.89,176.56,185.17,236.36,203.08,177.6,202.56,212.41,194.84,183.82,281.12
04-2011,223.85,172.4,175.33,164.89,154.62,254.34,167.23,331.31,175.67,166.18,149.6,178.9,165.99,190.99,179.51,167.27,156.55,185.6,182.04,223.17,211.78,202.4,194.08,139.41,196.12,176.49,171.72,285.67,174.88,226.9,189.71,187.87,207.02,202.11,116.43,200.64,148.47,190.73,244.62,184.66,178.27,178.9,170.66,217.4,178.02,187.15,237.93,205.91,178.9,199.99,212.14,196.95,181.93,282.84
05-2011,224.81,173.52,172.84,163.31,154.71,257.08,170.45,342.05,172.84,167.2,149.57,180.3,171.86,193.94,181.23,168.06,159.12,188.62,182.97,224.85,214.09,203.92,193.02,140.96,198.77,177.39,174.27,290.02,177.09,228.42,190.94,190.38,207.13,201.05,115.54,201.91,151.02,196.34,245.42,186.87,178.74,180.3,172.45,217.92,179.48,189.13,239.5,208.75,180.3,197.42,211.86,199.06,180.04,284.55
06-2011,226.04,174.25,174.17,164.13,154.77,258.14,168.6,338.21,172.05,168.4,149.75,180.6,173.25,194.34,183.91,169.3,158.99,188.91,183.78,224.64,213.73,204.03,195.5,142.12,199.65,178.68,173.64,287.85,176.87,229.31,191.42,190.61,207.78,202.48,116.05,202.08,151.56,193.55,247.15,186.32,177.11,180.6,172.78,218.86,181.03,188.5,241.16,208.71,180.6,198.57,211.43,199.45,183.01,285.99
07-2011,227.28,174.98,175.5,164.95,154.83,259.2,166.75,334.38,171.27,169.61,149.93,181,174.64,194.75,186.6,170.53,158.85,189.2,184.59,224.44,213.37,204.14,197.97,143.28,200.53,179.98,173.01,285.68,176.65,230.2,191.91,190.83,208.44,203.9,116.56,202.25,152.11,190.76,248.89,185.78,175.47,181,173.11,219.79,182.58,187.87,242.82,208.66,181,199.72,211,199.84,185.98,287.43
08-2011,228.51,175.7,176.82,165.77,154.89,260.26,164.9,330.54,170.48,170.81,150.12,181.3,176.03,195.16,189.28,171.76,158.71,189.49,185.4,224.23,213.01,204.25,200.45,144.44,201.41,181.28,172.38,283.51,176.42,231.09,192.39,191.06,209.1,205.33,117.07,202.42,152.66,187.97,250.62,185.23,173.83,181.3,173.45,220.73,184.12,187.24,244.48,208.62,181.3,200.86,210.57,200.23,188.94,288.87
09-2011,226.99,174.11,177.42,166.17,154.36,258.02,164.15,335.7,173.08,170.33,150.07,180.5,171.98,194.22,187.28,168.88,158.77,188.56,183.66,223.99,211.84,203.42,200.35,144.16,200.88,179.04,174.06,285.39,176.73,232.31,191.65,191.23,207.19,203.78,115.17,200.82,151.17,189.63,249.23,183.6,174.08,180.5,174.63,221.55,182.93,187.03,242.29,206.62,180.5,202.3,208.02,199.33,187.13,284.04
10-2011,225.46,172.51,178.02,166.56,153.83,255.78,163.41,340.86,175.69,169.84,150.02,179.7,167.94,193.28,185.28,166,158.83,187.63,181.92,223.74,210.67,202.59,200.24,143.88,200.36,176.81,175.75,287.26,177.04,233.54,190.91,191.39,205.28,202.24,113.27,199.23,149.69,191.29,247.83,181.96,174.32,179.7,175.82,222.36,181.74,186.82,240.1,204.63,179.7,203.74,205.47,198.44,185.31,279.21
11-2011,223.94,170.92,178.61,166.96,153.3,253.54,162.66,346.02,178.29,169.35,149.97,178.9,163.89,192.34,183.28,163.12,158.89,186.7,180.19,223.5,209.5,201.76,200.13,143.6,199.84,174.57,177.44,289.13,177.34,234.77,190.16,191.56,203.37,200.69,111.37,197.63,148.21,192.95,246.43,180.32,174.56,178.9,177,223.18,180.55,186.6,237.92,202.63,178.9,205.18,202.92,197.54,183.5,274.38
12-2011,219.95,171.73,178.42,168.71,153.2,252.59,160.44,346.14,175.01,170.18,148.24,178.2,166.02,192.93,183.32,162.26,156.9,186.28,180.95,222.6,208.18,199.26,197.29,141.57,197.28,175.39,174.33,287.73,175.51,235.79,190.25,187.53,201.43,200.14,111.24,197.32,147.27,191.06,244.17,180.24,174.65,178.2,173.38,220.97,178.73,186.95,239.52,202.64,178.2,205.51,202.68,196.16,186.37,275.76
01-2012,215.96,172.54,178.23,170.46,153.1,251.65,158.23,346.26,171.72,171,146.5,177.5,168.15,193.53,183.36,161.4,154.92,185.86,181.71,221.7,206.85,196.75,194.44,139.55,194.72,176.2,171.22,286.33,173.69,236.8,190.34,183.5,199.5,199.58,111.1,197,146.33,189.18,241.9,180.15,174.75,177.5,169.75,218.77,176.91,187.3,241.12,202.66,177.5,205.83,202.44,194.78,189.24,277.15
02-2012,211.97,173.35,178.04,172.21,153,250.7,156.01,346.38,168.43,171.83,144.76,176.9,170.29,194.12,183.4,160.54,152.93,185.45,182.47,220.8,205.53,194.25,191.59,137.52,192.16,177.01,168.11,284.93,171.86,237.82,190.42,179.47,197.56,199.03,110.97,196.69,145.39,187.29,239.64,180.07,174.84,176.9,166.13,216.57,175.09,187.64,242.73,202.67,176.9,206.15,202.21,193.39,192.1,278.54
03-2012,217.4,176.13,180.23,176.61,156.14,258.21,158.5,346.98,169.68,174.37,148.54,180,174.62,195.22,189.69,163.14,155.69,187.14,184.55,223.35,208.05,200.62,192.58,141.98,196.65,178.93,170.39,287.1,173.84,240.33,193.05,183.6,200.3,201.45,114.26,198.24,148.81,190.06,244.31,182.2,175.38,180,170.55,219.11,178.99,190.47,247.7,206.4,180,204.34,206.6,195.39,190.28,282.3
04-2012,222.83,178.91,182.41,181,159.27,265.73,160.99,347.59,170.93,176.92,152.31,183,178.95,196.31,195.97,165.73,158.44,188.84,186.63,225.89,210.57,206.99,193.58,146.43,201.14,180.86,172.67,289.28,175.82,242.84,195.67,187.72,203.03,203.87,117.56,199.79,152.23,192.83,248.97,184.34,175.92,183,174.96,221.66,182.89,193.3,252.66,210.13,183,202.52,210.99,197.4,188.45,286.06
05-2012,228.26,181.69,184.6,185.4,162.41,273.25,163.47,348.2,172.18,179.47,156.09,186.1,183.29,197.41,202.26,168.33,161.2,190.53,188.7,228.43,213.1,213.35,194.58,150.89,205.64,182.78,174.95,291.46,177.79,245.35,198.3,191.84,205.77,206.29,120.85,201.34,155.65,195.6,253.63,186.47,176.45,186.1,179.38,224.21,186.79,196.13,257.63,213.86,186.1,200.7,215.38,199.4,186.63,289.82
06-2012,229.29,180,184.29,189.04,163.27,273.81,163.91,357.24,174.24,180.67,157.02,186.7,181.57,198.24,203.41,169.12,160.59,191.98,188.19,229.61,213.89,211.7,194.35,151.81,207.29,182.97,175.72,292.35,178.17,247.52,197.63,191.28,205.62,206.1,123.51,201.63,155.89,196.42,257.83,186.12,175.06,186.7,178.58,225.27,185.97,196.59,258.46,213.59,186.7,203.23,216.07,200.24,187.72,292.97
07-2012,230.32,178.31,183.98,192.68,164.13,274.38,164.36,366.29,176.3,181.88,157.96,187.2,179.84,199.07,204.56,169.92,159.99,193.43,187.67,230.8,214.68,210.04,194.12,152.73,208.95,183.16,176.49,293.23,178.55,249.69,196.96,190.73,205.48,205.9,126.16,201.93,156.13,197.23,262.04,185.76,173.67,187.2,177.78,226.32,185.16,197.04,259.3,213.33,187.2,205.75,216.76,201.08,188.8,296.12
08-2012,231.35,176.62,183.67,196.32,165,274.95,164.8,375.34,178.36,183.09,158.9,187.8,178.12,199.9,205.71,170.71,159.38,194.88,187.16,231.98,215.48,208.38,193.9,153.65,210.61,183.34,177.26,294.11,178.93,251.86,196.29,190.18,205.33,205.7,128.82,202.22,156.37,198.05,266.24,185.41,172.28,187.8,176.99,227.38,184.34,197.5,260.13,213.06,187.8,208.27,217.45,201.92,189.89,299.27
09-2012,230.1,177.38,182.01,197.29,167.1,275.66,163.42,373.23,179.46,183.49,158.82,187.8,179.67,199.46,204.61,168.56,159.76,194.02,186.86,231.16,215.08,208.79,195.81,153.62,210.3,182.62,176.23,297.8,178.01,253.64,197.66,189.69,204.94,204.42,129.11,201.37,155.14,197.64,263.85,185.41,174.01,187.8,176.2,227.26,185.21,197.81,261.53,212.92,187.8,204.37,218.71,200.52,192.35,297.91
10-2012,228.85,178.15,180.34,198.26,169.2,276.37,162.04,371.11,180.55,183.9,158.73,187.8,181.21,199.02,203.51,166.41,160.15,193.15,186.56,230.34,214.68,209.19,197.72,153.58,209.99,181.89,175.19,301.49,177.1,255.43,199.04,189.21,204.54,203.14,129.41,200.52,153.91,197.23,261.46,185.42,175.75,187.8,175.42,227.14,186.08,198.12,262.92,212.77,187.8,200.48,219.97,199.12,194.82,296.55
